order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
483269266,2021/11/12 10:22:13,60000560954882,米ドル-円,決済売,10,114.269,-,0,500,14700,15200
481786190,2021/11/04 17:22:23,10000568606298,米ドル-円,新規買,10,114.122,-,0,0,,0
483269229,2021/11/12 10:22:00,60000560954865,米ドル-円,決済売,40,114.258,-,0,2000,2000,4000
481775922,2021/11/04 16:40:18,10000568601419,米ドル-円,新規買,40,114.253,-,0,0,,0
483269166,2021/11/12 10:21:34,60000560954830,米ドル-円,決済売,20,114.251,-,0,140,34000,34140
483239170,2021/11/12 5:39:07,10000569253159,米ドル-円,新規買,20,114.081,-,0,0,,0
483236150,2021/11/12 4:14:44,60000560939455,米ドル-円,決済売,10,114.065,-,0,0,6500,6500
483116248,2021/11/11 16:27:59,10000569198526,米ドル-円,新規買,10,114.000,-,0,0,,0
483235605,2021/11/12 4:13:15,60000560939424,米ドル-円,決済売,20,114.070,-,0,0,1000,1000
483071591,2021/11/11 11:09:13,10000569178371,米ドル-円,新規買,20,114.065,-,0,0,,0
483107704,2021/11/11 15:31:29,60000560876317,米ドル-円,決済売,10,113.925,-,0,0,-3800,-3800
483106925,2021/11/11 15:26:48,10000569194028,米ドル-円,新規買,10,113.963,-,0,0,,0
483103769,2021/11/11 15:02:46,60000560874478,米ドル-円,決済売,10,113.938,-,0,0,-6400,-6400
483089763,2021/11/11 12:58:20,10000569186280,米ドル-円,新規買,10,114.002,-,0,0,,0
483088386,2021/11/11 12:49:04,60000560867902,米ドル-円,決済売,10,113.987,-,0,0,-8700,-8700
483064368,2021/11/11 10:22:18,10000569175537,米ドル-円,新規買,10,114.074,-,0,0,,0
483064427,2021/11/11 10:29:14,60000560856943,米ドル-円,決済売,10,114.030,-,0,430,700,1130
481820873,2021/11/04 19:15:39,10000568622362,米ドル-円,新規買,10,114.023,-,0,0,,0
483008187,2021/11/11 2:49:59,60000560829295,米ドル-円,決済売,5,113.926,-,0,95,7800,7895
482184845,2021/11/05 22:07:06,10000568785613,米ドル-円,新規買,5,113.770,-,0,0,,0
483008167,2021/11/11 2:49:50,60000560829287,米ドル-円,決済売,5,113.928,-,0,0,13250,13250
482974801,2021/11/11 0:19:52,10000569139047,米ドル-円,新規買,5,113.663,-,0,0,,0
483004296,2021/11/11 2:48:14,60000560829196,米ドル-円,決済売,5,113.915,-,0,95,200,295
482179694,2021/11/05 22:00:04,10000568782911,米ドル-円,新規買,5,113.911,-,0,0,,0
482972683,2021/11/11 0:17:04,60000560810577,米ドル-円,決済売,5,113.678,-,0,0,500,500
482967285,2021/11/11 0:04:35,10000569136068,米ドル-円,新規買,5,113.668,-,0,0,,0
482902459,2021/11/10 22:14:40,60000560773884,米ドル-円,決済売,5,113.258,-,0,0,8750,8750
482817833,2021/11/10 16:22:07,10000569071256,米ドル-円,新規買,5,113.083,-,0,0,,0
482678387,2021/11/09 22:30:37,60000560672747,米ドル-円,決済売,5,112.995,-,0,0,5050,5050
482595851,2021/11/09 16:02:33,10000568971488,米ドル-円,新規買,5,112.894,-,0,0,,0
482573588,2021/11/09 14:00:19,60000560626092,米ドル-円,決済売,5,112.824,-,0,0,-1750,-1750
482569108,2021/11/09 13:27:26,10000568959216,米ドル-円,新規買,5,112.859,-,0,0,,0
482166352,2021/11/05 21:45:21,60000560450255,米ドル-円,決済売,5,113.990,-,0,0,3700,3700
482165931,2021/11/05 21:39:34,10000568777261,米ドル-円,新規買,5,113.916,-,0,0,,0
482070394,2021/11/05 21:31:12,60000560443129,米ドル-円,決済売,5,114.000,-,0,45,4300,4345
481903673,2021/11/04 22:17:43,10000568660617,米ドル-円,新規買,5,113.914,-,0,0,,0
482139202,2021/11/05 21:30:23,60000560442131,米ドル-円,決済売,10,113.939,-,0,0,5000,5000
