order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
449666077,2021/04/28 23:43:36,60000545596886,米ドル-円,決済売,5,108.745,-,0,345,16800,17145
448114330,2021/04/20 20:57:09,10000553599936,米ドル-円,新規買,5,108.409,-,0,0,,0
448236019,2021/04/21 9:21:23,60000544936019,米ドル-円,決済買,5,107.920,-,0,0,1300,1300
448233024,2021/04/21 9:16:58,10000553653994,米ドル-円,新規売,5,107.946,-,0,0,,0
446352858,2021/04/09 21:35:48,60000544080609,米ドル-円,決済売,5,109.825,-,0,40,3900,3940
445938197,2021/04/08 12:47:17,10000552628253,米ドル-円,新規買,5,109.747,-,0,0,,0
446351766,2021/04/09 21:33:51,60000544080134,米ドル-円,決済売,5,109.797,-,0,0,3200,3200
446306233,2021/04/09 19:24:16,10000552793997,米ドル-円,新規買,5,109.733,-,0,0,,0
446276152,2021/04/09 17:39:38,60000544042704,米ドル-円,決済売,5,109.561,-,0,0,1150,1150
446260502,2021/04/09 16:33:25,10000552773676,米ドル-円,新規買,5,109.538,-,0,0,,0
445826542,2021/04/07 22:35:40,60000543839476,米ドル-円,決済売,5,109.878,-,0,0,2400,2400
445825328,2021/04/07 22:33:24,10000552579187,米ドル-円,新規買,5,109.830,-,0,0,,0
445805310,2021/04/07 21:44:56,60000543830058,米ドル-円,決済売,5,109.879,-,0,0,250,250
445752349,2021/04/07 18:17:48,10000552545597,米ドル-円,新規買,5,109.874,-,0,0,,0
445739018,2021/04/07 17:29:33,60000543800923,米ドル-円,決済売,5,109.906,-,0,0,1000,1000
445728549,2021/04/07 16:40:33,10000552534780,米ドル-円,新規買,5,109.886,-,0,0,,0
445726198,2021/04/07 16:30:48,60000543794396,米ドル-円,決済売,5,109.888,-,0,0,1500,1500
445721921,2021/04/07 16:14:42,10000552531752,米ドル-円,新規買,5,109.858,-,0,0,,0
445458842,2021/04/06 21:07:14,60000543688383,米ドル-円,決済売,5,110.299,-,0,0,1550,1550
445376557,2021/04/06 13:33:20,10000552373849,米ドル-円,新規買,5,110.268,-,0,0,,0
445458895,2021/04/06 21:01:58,60000543687637,米ドル-円,決済売,10,110.310,-,0,0,400,400
445375018,2021/04/06 13:24:59,10000552373116,米ドル-円,新規買,10,110.306,-,0,0,,0
445476106,2021/04/06 20:42:51,60000543683539,米ドル-円,決済売,5,110.434,-,0,0,2300,2300
445408390,2021/04/06 16:21:20,10000552388805,米ドル-円,新規買,5,110.388,-,0,0,,0
445476064,2021/04/06 20:42:44,60000543683526,米ドル-円,決済売,5,110.437,-,0,0,1700,1700
445434246,2021/04/06 17:58:17,10000552400643,米ドル-円,新規買,5,110.403,-,0,0,,0
445364349,2021/04/06 13:20:19,60000543636639,米ドル-円,決済売,5,110.299,-,0,0,2400,2400
445347685,2021/04/06 10:35:13,10000552361268,米ドル-円,新規買,5,110.251,-,0,0,,0
445358863,2021/04/06 11:50:39,60000543629548,米ドル-円,決済売,5,110.325,-,0,0,1050,1050
445343257,2021/04/06 10:08:37,10000552359265,米ドル-円,新規買,5,110.304,-,0,0,,0
445358853,2021/04/06 11:50:32,60000543629543,米ドル-円,決済売,5,110.324,-,0,0,900,900
