order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
459547329,2021/06/26 3:40:09,60000550127611,米ドル-円,決済売,5,110.858,-,0,0,5600,5600
459424482,2021/06/25 17:28:23,10000558640845,米ドル-円,新規買,5,110.746,-,0,0,,0
459547313,2021/06/26 3:39:45,60000550127605,米ドル-円,決済売,5,110.861,-,0,0,14550,14550
459479959,2021/06/25 21:49:01,10000558667669,米ドル-円,新規買,5,110.570,-,0,0,,0
459380803,2021/06/25 11:09:40,60000550048835,米ドル-円,決済売,5,110.882,-,0,45,5500,5545
459303075,2021/06/24 22:09:46,10000558588108,米ドル-円,新規買,5,110.772,-,0,0,,0
459159883,2021/06/24 9:39:34,60000549949176,米ドル-円,決済売,5,111.056,-,0,120,13050,13170
459040255,2021/06/23 20:39:33,10000558472290,米ドル-円,新規買,5,110.795,-,0,0,,0
459159857,2021/06/24 9:39:24,60000549949171,米ドル-円,決済売,5,111.056,-,0,120,12450,12570
459045490,2021/06/23 20:47:17,10000558474415,米ドル-円,新規買,5,110.807,-,0,0,,0
458947177,2021/06/23 16:01:01,60000549849213,米ドル-円,決済売,10,110.857,-,0,250,11600,11850
457753613,2021/06/17 8:30:46,10000557895684,米ドル-円,新規買,10,110.741,-,0,0,,0
458940681,2021/06/23 15:39:39,60000549845699,米ドル-円,決済売,5,110.862,-,0,0,1600,1600
458901386,2021/06/23 10:59:40,10000558409318,米ドル-円,新規買,5,110.830,-,0,0,,0
458940662,2021/06/23 15:39:34,60000549845692,米ドル-円,決済売,15,110.860,-,0,0,10650,10650
458919630,2021/06/23 13:26:01,10000558417245,米ドル-円,新規買,15,110.789,-,0,0,,0
458919607,2021/06/23 13:25:42,60000549834867,米ドル-円,決済売,15,110.783,-,0,7530,-1950,5580
444746508,2021/04/01 15:29:41,10000552094519,米ドル-円,新規買,15,110.796,-,0,0,,0
458797280,2021/06/22 22:29:27,60000549775811,米ドル-円,決済売,5,110.686,-,0,65,11150,11215
458255714,2021/06/18 23:02:37,10000558126252,米ドル-円,新規買,5,110.463,-,0,0,,0
458632197,2021/06/22 9:16:00,60000549698943,米ドル-円,決済売,5,110.323,-,0,35,17700,17735
458477733,2021/06/21 17:53:03,10000558223534,米ドル-円,新規買,5,109.969,-,0,0,,0
458249918,2021/06/18 22:49:21,60000549521845,米ドル-円,決済売,5,110.388,-,0,0,15900,15900
458132879,2021/06/18 16:04:05,10000558071861,米ドル-円,新規買,5,110.070,-,0,0,,0
458249886,2021/06/18 22:49:16,60000549521828,米ドル-円,決済売,5,110.383,-,0,0,7900,7900
458175415,2021/06/18 18:41:51,10000558090560,米ドル-円,新規買,5,110.225,-,0,0,,0
458249781,2021/06/18 22:49:02,60000549521779,米ドル-円,決済売,5,110.370,-,0,0,2750,2750
458240198,2021/06/18 22:31:59,10000558119405,米ドル-円,新規買,5,110.315,-,0,0,,0
457950538,2021/06/17 22:15:09,60000549386684,米ドル-円,決済買,5,110.468,-,0,0,10100,10100
457777631,2021/06/17 10:03:09,10000557906518,米ドル-円,新規売,5,110.670,-,0,0,,0
457753581,2021/06/17 8:30:31,60000549298996,米ドル-円,決済売,10,110.739,-,0,4770,-4300,470
444746907,2021/04/01 15:31:09,10000552094678,米ドル-円,新規買,10,110.782,-,0,0,,0
457753471,2021/06/17 8:29:59,60000549298969,米ドル-円,決済売,5,110.736,-,0,2065,12100,14165
445450189,2021/04/06 18:55:20,10000552408037,米ドル-円,新規買,5,110.494,-,0,0,,0
457753240,2021/06/17 8:28:44,60000549298843,米ドル-円,決済売,5,110.739,-,0,2065,15100,17165
445476174,2021/04/06 20:43:07,10000552419559,米ドル-円,新規買,5,110.437,-,0,0,,0
457753218,2021/06/17 8:28:36,60000549298835,米ドル-円,決済売,5,110.738,-,0,2065,10000,12065
445458549,2021/04/06 19:30:29,10000552411634,米ドル-円,新規買,5,110.538,-,0,0,,0
457753191,2021/06/17 8:28:30,60000549298821,米ドル-円,決済売,5,110.738,-,0,2065,11350,13415
445454683,2021/04/06 19:12:29,10000552410076,米ドル-円,新規買,5,110.511,-,0,0,,0
457753122,2021/06/17 8:28:11,60000549298799,米ドル-円,決済売,10,110.733,-,0,4610,-800,3810
445074071,2021/04/02 22:24:27,10000552240151,米ドル-円,新規買,10,110.741,-,0,0,,0
457304066,2021/06/14 22:59:20,60000549088751,米ドル-円,決済売,5,109.938,-,0,25,6050,6075
457115988,2021/06/11 23:44:51,10000557612155,米ドル-円,新規買,5,109.817,-,0,0,,0
457303983,2021/06/14 22:59:11,60000549088721,米ドル-円,決済売,5,109.935,-,0,50,10100,10150
456860470,2021/06/10 22:10:55,10000557496959,米ドル-円,新規買,5,109.733,-,0,0,,0
457030230,2021/06/11 18:59:58,60000548964230,米ドル-円,決済売,5,109.530,-,0,25,1550,1575
456800036,2021/06/10 19:45:41,10000557471169,米ドル-円,新規買,5,109.499,-,0,0,,0
457030218,2021/06/11 18:59:52,60000548964226,米ドル-円,決済売,5,109.535,-,0,0,5700,5700
456980774,2021/06/11 14:50:29,10000557549280,米ドル-円,新規買,5,109.421,-,0,0,,0
457025728,2021/06/11 18:33:53,60000548962397,米ドル-円,決済売,5,109.528,-,0,0,5350,5350
456980650,2021/06/11 14:48:38,10000557549221,米ドル-円,新規買,5,109.421,-,0,0,,0
456710866,2021/06/10 4:51:33,60000548817954,米ドル-円,決済売,5,109.633,-,0,50,2450,2500
456256602,2021/06/07 16:18:27,10000557228213,米ドル-円,新規買,5,109.584,-,0,0,,0
456710856,2021/06/10 4:51:24,60000548817949,米ドル-円,決済売,5,109.633,-,0,50,9400,9450
456269346,2021/06/07 17:25:53,10000557234691,米ドル-円,新規買,5,109.445,-,0,0,,0
456014919,2021/06/04 17:30:32,60000548503765,米ドル-円,決済売,5,110.191,-,0,1740,1750,3490
445500532,2021/04/06 21:33:31,10000552431475,米ドル-円,新規買,5,110.156,-,0,0,,0
456014860,2021/06/04 17:29:59,60000548503726,米ドル-円,決済売,5,110.198,-,0,1740,2150,3890
445500346,2021/04/06 21:33:15,10000552431398,米ドル-円,新規買,5,110.155,-,0,0,,0
455386259,2021/06/01 17:40:46,60000548216578,米ドル-円,決済売,5,109.599,-,0,0,7200,7200
455341553,2021/06/01 12:58:28,10000556820685,米ドル-円,新規買,5,109.455,-,0,0,,0
