order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
475014181,2021/09/30 22:51:37,60000557166031,米ドル-円,決済売,10,111.792,-,0,0,-3000,-3000
475010088,2021/09/30 22:43:15,10000565583954,米ドル-円,新規買,10,111.822,-,0,0,,0
475004991,2021/09/30 22:34:34,60000557161911,米ドル-円,決済売,5,111.715,-,0,0,-17450,-17450
474953370,2021/09/30 20:16:22,10000565557679,米ドル-円,新規買,5,112.064,-,0,0,,0
475004785,2021/09/30 22:34:22,60000557161769,米ドル-円,決済売,5,111.735,-,0,0,-14600,-14600
474954057,2021/09/30 20:17:54,10000565557965,米ドル-円,新規買,5,112.027,-,0,0,,0
475004607,2021/09/30 22:34:12,60000557161623,米ドル-円,決済売,5,111.746,-,0,0,-12100,-12100
474961335,2021/09/30 20:45:41,10000565561185,米ドル-円,新規買,5,111.988,-,0,0,,0
474915097,2021/09/30 17:27:25,60000557121491,米ドル-円,決済売,5,111.880,-,0,0,1650,1650
474914092,2021/09/30 17:18:02,10000565539830,米ドル-円,新規買,5,111.847,-,0,0,,0
474913432,2021/09/30 17:14:19,60000557120605,米ドル-円,決済売,5,111.850,-,0,0,650,650
474912224,2021/09/30 17:07:55,10000565539008,米ドル-円,新規買,5,111.837,-,0,0,,0
474849936,2021/09/30 12:58:23,60000557097295,米ドル-円,決済売,5,111.884,-,0,0,2000,2000
474849026,2021/09/30 10:54:00,10000565509935,米ドル-円,新規買,5,111.844,-,0,0,,0
474836767,2021/09/30 9:43:47,60000557085558,米ドル-円,決済売,5,111.913,-,0,0,2150,2150
474834138,2021/09/30 9:26:34,10000565503029,米ドル-円,新規買,5,111.870,-,0,0,,0
474770725,2021/09/29 23:42:13,60000557055290,米ドル-円,決済売,5,111.861,-,0,0,4050,4050
474554767,2021/09/29 10:21:44,10000565377354,米ドル-円,新規買,10,111.668,-,0,0,,0
474719028,2021/09/29 22:02:58,60000557030624,米ドル-円,決済売,10,111.592,-,0,0,1200,1200
474559714,2021/09/29 10:42:58,10000565379729,米ドル-円,新規買,10,111.580,-,0,0,,0
474640616,2021/09/29 17:23:06,60000556995137,米ドル-円,決済売,5,111.232,-,0,0,-5300,-5300
474629378,2021/09/29 16:44:28,10000565411382,米ドル-円,新規買,5,111.338,-,0,0,,0
474604235,2021/09/29 15:12:07,60000556978747,米ドル-円,決済売,5,111.517,-,0,0,1100,1100
474584687,2021/09/29 13:10:37,10000565391183,米ドル-円,新規買,5,111.495,-,0,0,,0
474597469,2021/09/29 14:32:44,60000556975495,米ドル-円,決済売,5,111.456,-,0,0,600,600
474593905,2021/09/29 14:15:35,10000565395242,米ドル-円,新規買,5,111.444,-,0,0,,0
474592745,2021/09/29 14:10:38,60000556973521,米ドル-円,決済売,5,111.452,-,0,0,2800,2800
