order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
455030327,2021/05/28 20:24:25,60000548056507,米ドル-円,決済売,5,109.982,-,0,1290,4950,6240
446357344,2021/04/09 21:44:29,10000552817085,米ドル-円,新規買,5,109.883,-,0,0,,0
454941952,2021/05/28 10:21:15,60000548015860,米ドル-円,決済売,5,109.894,-,0,1290,450,1740
446357213,2021/04/09 21:44:17,10000552817027,米ドル-円,新規買,5,109.885,-,0,0,,0
454941403,2021/05/28 10:17:22,60000548015645,米ドル-円,決済売,5,109.913,-,0,335,26800,27135
452928022,2021/05/17 13:14:23,10000555746834,米ドル-円,新規買,5,109.377,-,0,0,,0
452409001,2021/05/13 7:19:03,60000546860192,米ドル-円,決済売,5,109.683,-,0,125,38000,38125
451695547,2021/05/10 16:58:55,10000555200371,米ドル-円,新規買,5,108.923,-,0,0,,0
451302687,2021/05/07 11:45:17,60000546347976,米ドル-円,決済売,5,109.178,-,0,25,3400,3425
451234872,2021/05/07 0:08:37,10000554998550,米ドル-円,新規買,5,109.110,-,0,0,,0
451185045,2021/05/06 22:24:35,60000546295940,米ドル-円,決済売,5,109.345,-,0,0,5700,5700
451160549,2021/05/06 21:23:27,10000554965446,米ドル-円,新規買,5,109.231,-,0,0,,0
450374171,2021/05/03 19:01:29,60000545925261,米ドル-円,決済売,5,109.502,-,0,30,23450,23480
449855165,2021/04/29 19:27:22,10000554381803,米ドル-円,新規買,5,109.033,-,0,0,,0
