order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
504976051,2022/03/05 5:51:33,60000570885146,米ドル-円,決済売,70,114.885,-,0,0,21000,21000
504974577,2022/03/05 3:06:43,10000578930444,米ドル-円,新規買,70,114.855,-,0,0,,0
504418858,2022/03/03 16:47:15,60000570626028,米ドル-円,決済売,70,115.685,-,0,0,21700,21700
504378625,2022/03/03 12:42:29,10000578657994,米ドル-円,新規買,70,115.654,-,0,0,,0
504341533,2022/03/03 8:53:28,60000570590854,米ドル-円,決済売,70,115.497,-,0,840,185500,186340
504119264,2022/03/02 18:05:46,10000578547437,米ドル-円,新規買,70,115.232,-,0,0,,0
504117566,2022/03/02 18:00:58,60000570483303,米ドル-円,決済売,70,115.168,-,0,0,6300,6300
504076775,2022/03/02 15:41:05,10000578528763,米ドル-円,新規買,70,115.159,-,0,0,,0
504074016,2022/03/02 15:26:03,60000570462768,米ドル-円,決済売,50,115.091,-,0,0,16000,16000
504069867,2022/03/02 15:00:52,10000578525639,米ドル-円,新規買,50,115.059,-,0,0,,0
504066941,2022/03/02 15:00:23,60000570460809,米ドル-円,決済売,70,115.057,-,0,0,1400,1400
504050970,2022/03/02 12:32:30,10000578517755,米ドル-円,新規買,70,115.055,-,0,0,,0
504035488,2022/03/02 11:02:18,60000570445946,米ドル-円,決済売,70,115.009,-,0,490,43400,43890
503911756,2022/03/01 22:50:16,10000578456690,米ドル-円,新規買,70,114.947,-,0,0,,0
503908803,2022/03/01 22:41:45,60000570388592,米ドル-円,決済売,30,114.901,-,0,0,2400,2400
503902374,2022/03/01 22:30:26,10000578452872,米ドル-円,新規買,30,114.893,-,0,0,,0
503908783,2022/03/01 22:41:40,60000570388586,米ドル-円,決済売,40,114.902,-,0,0,15200,15200
503900584,2022/03/01 22:27:45,10000578452064,米ドル-円,新規買,40,114.864,-,0,0,,0
