order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
351415256,2019/12/27 10:36:42,60000501063356,米ドル-円,決済買,20,109.462,-,0,-23100,-185400,-208500
349873407,2019/12/12 10:56:47,10000510068714,米ドル-円,新規売,20,108.535,-,0,0,,0
350081845,2019/12/13 8:42:41,60000500481092,米ドル-円,決済売,10,109.420,-,0,6690,-18300,-11610
348691836,2019/11/29 22:02:53,10000509559006,米ドル-円,新規買,10,109.603,-,0,0,,0
350081060,2019/12/13 8:38:47,60000500480761,米ドル-円,決済売,5,109.439,-,0,3095,-4750,-1655
348740810,2019/12/02 7:22:18,10000509579409,米ドル-円,新規買,5,109.534,-,0,0,,0
349856152,2019/12/12 7:47:23,60000500364438,米ドル-円,決済売,5,108.552,-,0,705,-7600,-6895
349828104,2019/12/11 23:58:16,10000510048320,米ドル-円,新規買,5,108.704,-,0,0,,0
349731080,2019/12/11 5:54:44,60000500309997,米ドル-円,決済買,20,108.749,-,0,0,-21400,-21400
349708584,2019/12/11 0:02:13,10000509998943,米ドル-円,新規売,20,108.642,-,0,0,,0
349704210,2019/12/10 23:38:18,60000500297395,米ドル-円,決済買,20,108.564,-,0,0,5400,5400
349700459,2019/12/10 23:13:09,10000509995440,米ドル-円,新規売,20,108.591,-,0,0,,0
349695782,2019/12/10 22:47:15,60000500294099,米ドル-円,決済買,15,108.628,-,0,0,3750,3750
349694221,2019/12/10 22:42:29,10000509992982,米ドル-円,新規売,15,108.653,-,0,0,,0
349643677,2019/12/10 16:03:00,60000500270917,米ドル-円,決済買,10,108.604,-,0,-500,1800,1300
349609813,2019/12/10 4:24:16,10000509955908,米ドル-円,新規売,10,108.622,-,0,0,,0
348691732,2019/11/29 22:02:32,60000499862443,米ドル-円,決済売,10,109.601,-,0,129960,-74000,55960
328532604,2019/05/31 22:37:04,60000491059341,米ドル-円,決済売,5,108.827,-,0,4490,-75700,-71210
327707394,2019/05/23 5:00:28,10000500578141,米ドル-円,新規買,15,110.341,-,0,0,,0
346375380,2019/11/06 0:35:27,60000498854929,米ドル-円,決済買,5,109.119,-,0,0,-3500,-3500
346371425,2019/11/06 0:22:40,10000508572250,米ドル-円,新規売,5,109.049,-,0,0,,0
344245559,2019/10/16 9:47:01,60000497936095,米ドル-円,決済売,3,108.651,-,0,372,3360,3732
343809760,2019/10/11 23:36:45,10000507501903,米ドル-円,新規買,3,108.539,-,0,0,,0
332033718,2019/07/10 10:13:59,60000492591716,米ドル-円,決済買,10,108.958,-,0,-1740,-30000,-31740
331902354,2019/07/09 1:31:02,10000502393633,米ドル-円,新規売,10,108.658,-,0,0,,0
331902346,2019/07/09 1:30:53,60000492534585,米ドル-円,決済売,5,108.658,-,0,0,-1900,-1900
331891365,2019/07/08 23:34:16,10000502389160,米ドル-円,新規買,5,108.696,-,0,0,,0
331758956,2019/07/05 23:03:41,60000492471437,米ドル-円,決済売,4,108.553,-,0,1888,8920,10808
331285133,2019/07/01 19:26:38,10000502132140,米ドル-円,新規買,4,108.330,-,0,0,,0
331283778,2019/07/01 19:13:43,60000492264738,米ドル-円,決済売,4,108.288,-,0,8592,-2840,5752
328699448,2019/06/03 23:52:45,10000501015941,米ドル-円,新規買,4,108.359,-,0,0,,0
328533942,2019/05/31 22:40:56,60000491059946,米ドル-円,決済売,4,108.733,-,0,0,-4840,-4840
328532830,2019/05/31 22:37:32,10000500942963,米ドル-円,新規買,4,108.854,-,0,0,,0
327687540,2019/05/22 22:57:12,60000490697266,米ドル-円,決済売,15,110.374,-,0,0,3000,3000
327686595,2019/05/22 22:52:20,10000500569968,米ドル-円,新規買,15,110.354,-,0,0,,0
327683642,2019/05/22 22:36:43,60000490695379,米ドル-円,決済売,15,110.403,-,0,0,2850,2850
327682467,2019/05/22 22:24:26,10000500567940,米ドル-円,新規買,15,110.384,-,0,0,,0
327679303,2019/05/22 21:56:07,60000490693720,米ドル-円,決済売,15,110.374,-,0,0,5550,5550
327677037,2019/05/22 21:40:12,10000500565766,米ドル-円,新規買,15,110.337,-,0,0,,0
327676006,2019/05/22 21:33:26,60000490692535,米ドル-円,決済売,15,110.345,-,0,0,3600,3600
327675121,2019/05/22 21:29:12,10000500564949,米ドル-円,新規買,15,110.321,-,0,0,,0
327673916,2019/05/22 21:23:19,60000490691473,米ドル-円,決済買,15,110.369,-,0,0,1200,1200
327649737,2019/05/22 17:05:31,10000500553143,米ドル-円,新規売,15,110.377,-,0,0,,0
327651541,2019/05/22 17:24:47,60000490682588,米ドル-円,決済売,15,110.442,-,0,0,6450,6450
327650568,2019/05/22 17:16:53,10000500553486,米ドル-円,新規買,15,110.399,-,0,0,,0
327649156,2019/05/22 16:57:34,60000490681477,米ドル-円,決済買,15,110.368,-,0,0,6600,6600
327646366,2019/05/22 16:17:03,10000500551753,米ドル-円,新規売,15,110.412,-,0,0,,0
327645473,2019/05/22 16:08:22,60000490680001,米ドル-円,決済買,15,110.382,-,0,0,18600,18600
327617526,2019/05/22 9:28:49,10000500538883,米ドル-円,新規売,15,110.506,-,0,0,,0
327616857,2019/05/22 9:22:21,60000490667185,米ドル-円,決済買,15,110.520,-,0,-1275,5700,4425
327575101,2019/05/21 23:18:10,10000500522307,米ドル-円,新規売,15,110.558,-,0,0,,0
327574305,2019/05/21 23:12:25,60000490649294,米ドル-円,決済買,15,110.557,-,0,0,4800,4800
327572198,2019/05/21 23:01:54,10000500521277,米ドル-円,新規売,15,110.589,-,0,0,,0
327528228,2019/05/21 19:54:32,60000490628833,米ドル-円,決済売,10,110.304,-,0,0,9300,9300
327485923,2019/05/21 12:12:51,10000500483924,米ドル-円,新規買,10,110.211,-,0,0,,0
327469475,2019/05/21 8:38:53,60000490602993,米ドル-円,決済売,15,110.073,-,0,1245,25050,26295
327419279,2019/05/20 20:26:17,10000500457022,米ドル-円,新規買,15,109.906,-,0,0,,0
327384217,2019/05/20 14:42:00,60000490567977,米ドル-円,決済売,15,110.161,-,0,1215,31650,32865
327229685,2019/05/17 11:21:59,10000500377019,米ドル-円,新規買,15,109.950,-,0,0,,0
327226859,2019/05/17 10:31:40,60000490499286,米ドル-円,決済売,10,109.922,-,0,0,6800,6800
327213103,2019/05/17 7:27:23,10000500370307,米ドル-円,新規買,10,109.854,-,0,0,,0
327213089,2019/05/17 7:27:09,60000490493654,米ドル-円,決済売,5,109.851,-,0,2850,6650,9500
326643877,2019/05/10 21:36:36,10000500128703,米ドル-円,新規買,5,109.718,-,0,0,,0
327213080,2019/05/17 7:27:01,60000490493652,米ドル-円,決済売,10,109.851,-,0,6480,-6100,380
326479029,2019/05/09 19:48:34,10000500058438,米ドル-円,新規買,10,109.912,-,0,0,,0
326379804,2019/05/08 23:35:28,60000490141609,米ドル-円,決済売,10,110.105,-,0,0,17000,17000
326309555,2019/05/08 13:24:38,10000499983453,米ドル-円,新規買,10,109.935,-,0,0,,0
325012374,2019/04/23 20:26:40,60000489567432,米ドル-円,決済買,10,111.891,-,0,-7080,9800,2720
324449916,2019/04/15 7:23:26,10000499183283,米ドル-円,新規売,10,111.989,-,0,0,,0
320806497,2019/03/08 12:40:59,60000487762324,米ドル-円,決済売,10,111.391,-,0,50450,137200,187650
313736567,2018/12/31 23:01:37,10000494658767,米ドル-円,新規買,10,110.019,-,0,0,,0
316985616,2019/01/28 8:57:36,60000486129156,米ドル-円,決済売,5,109.408,-,0,7250,30950,38200
314976525,2019/01/09 8:55:43,10000495195443,米ドル-円,新規買,5,108.789,-,0,0,,0
314737735,2019/01/07 22:05:53,60000485161722,米ドル-円,決済売,5,108.238,-,0,390,17350,17740
314360633,2019/01/04 8:20:43,10000494934754,米ドル-円,新規買,5,107.891,-,0,0,,0
ロスカット,2019/01/03 7:40:31,60000484845197,豪ドル-円,決済売,10,71.789,-,0,1140,-674300,-673160
313387470,2018/12/27 10:00:06,10000494503642,豪ドル-円,新規買,10,78.532,-,0,0,,0
ロスカット,2019/01/03 7:40:31,60000484845199,米ドル-円,決済売,10,105.580,-,0,2340,-541100,-538760
313387163,2018/12/27 9:58:41,10000494503524,米ドル-円,新規買,10,110.991,-,0,0,,0
