order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
469476445,2021/08/27 23:37:22,60000554648546,米ドル-円,決済売,5,109.991,-,0,0,4900,4900
469464489,2021/08/27 23:18:48,10000563124713,米ドル-円,新規買,5,109.893,-,0,0,,0
469156995,2021/08/26 16:15:22,60000554500562,米ドル-円,決済売,5,110.120,-,0,105,7650,7755
469047338,2021/08/25 22:59:12,10000562942275,米ドル-円,新規買,5,109.967,-,0,0,,0
469156935,2021/08/26 16:15:06,60000554500539,米ドル-円,決済売,5,110.127,-,0,180,3350,3530
468587960,2021/08/23 18:57:40,10000562739877,米ドル-円,新規買,5,110.060,-,0,0,,0
469156886,2021/08/26 16:14:50,60000554500527,米ドル-円,決済売,20,110.129,-,0,420,21400,21820
469045420,2021/08/25 22:55:05,10000562941284,米ドル-円,新規買,20,110.022,-,0,0,,0
469030125,2021/08/25 22:07:50,60000554442361,米ドル-円,決済売,5,109.916,-,0,75,4050,4125
468643870,2021/08/23 22:21:43,10000562764763,米ドル-円,新規買,5,109.835,-,0,0,,0
469029936,2021/08/25 22:07:29,60000554442173,米ドル-円,決済売,5,109.918,-,0,75,5600,5675
468650262,2021/08/23 22:30:45,10000562768031,米ドル-円,新規買,5,109.806,-,0,0,,0
469029862,2021/08/25 22:07:23,60000554442081,米ドル-円,決済売,15,109.916,-,0,0,14550,14550
468916417,2021/08/25 9:34:35,10000562884020,米ドル-円,新規買,15,109.819,-,0,0,,0
468586494,2021/08/23 18:51:31,60000554240558,米ドル-円,決済売,5,110.075,-,0,0,8500,8500
468559802,2021/08/23 17:00:35,10000562727180,米ドル-円,新規買,5,109.905,-,0,0,,0
468586472,2021/08/23 18:51:25,60000554240550,米ドル-円,決済売,15,110.075,-,0,0,18450,18450
468552352,2021/08/23 16:18:00,10000562723628,米ドル-円,新規買,15,109.952,-,0,0,,0
468543171,2021/08/23 15:22:35,60000554220221,米ドル-円,決済売,5,109.955,-,0,0,3050,3050
468501558,2021/08/23 9:35:05,10000562701242,米ドル-円,新規買,5,109.894,-,0,0,,0
468543145,2021/08/23 15:22:26,60000554220215,米ドル-円,決済売,5,109.953,-,0,70,2800,2870
468067703,2021/08/19 16:29:46,10000562511217,米ドル-円,新規買,5,109.897,-,0,0,,0
468543134,2021/08/23 15:22:18,60000554220213,米ドル-円,決済売,10,109.955,-,0,70,10700,10770
468282983,2021/08/20 9:49:30,10000562605319,米ドル-円,新規買,10,109.848,-,0,0,,0
468261927,2021/08/20 4:37:45,60000554095681,米ドル-円,決済売,5,109.803,-,0,0,9600,9600
468110109,2021/08/19 17:58:22,10000562531784,米ドル-円,新規買,5,109.611,-,0,0,,0
468021622,2021/08/19 13:21:21,60000553984792,米ドル-円,決済売,5,110.151,-,0,105,11300,11405
467935838,2021/08/19 0:22:03,10000562451431,米ドル-円,新規買,5,109.925,-,0,0,,0
468021608,2021/08/19 13:21:16,60000553984789,米ドル-円,決済売,5,110.149,-,0,105,8050,8155
467942804,2021/08/19 1:21:38,10000562454262,米ドル-円,新規買,5,109.988,-,0,0,,0
468021601,2021/08/19 13:21:09,60000553984786,米ドル-円,決済売,15,110.154,-,0,0,32400,32400
467978716,2021/08/19 9:22:27,10000562469566,米ドル-円,新規買,15,109.938,-,0,0,,0
467977663,2021/08/19 9:17:03,60000553964524,米ドル-円,決済売,5,109.907,-,0,0,4950,4950
467967416,2021/08/19 7:41:30,10000562464699,米ドル-円,新規買,5,109.808,-,0,0,,0
467933048,2021/08/19 0:08:40,60000553942337,米ドル-円,決済売,5,109.897,-,0,0,14900,14900
467831208,2021/08/18 16:57:59,10000562404897,米ドル-円,新規買,5,109.599,-,0,0,,0
467933005,2021/08/19 0:08:17,60000553942326,米ドル-円,決済売,5,109.897,-,0,35,13950,13985
467728106,2021/08/17 23:42:10,10000562360335,米ドル-円,新規買,5,109.618,-,0,0,,0
467932960,2021/08/19 0:08:00,60000553942309,米ドル-円,決済売,15,109.896,-,0,210,32850,33060
467290081,2021/08/16 7:50:26,10000562158837,米ドル-円,新規買,15,109.677,-,0,0,,0
467775180,2021/08/18 9:47:51,60000553870557,米ドル-円,決済売,5,109.566,-,0,35,1900,1935
467722730,2021/08/17 23:26:52,10000562357906,米ドル-円,新規買,5,109.528,-,0,0,,0
467775169,2021/08/18 9:47:40,60000553870554,米ドル-円,決済売,5,109.567,-,0,35,10900,10935
467581857,2021/08/17 15:23:50,10000562294916,米ドル-円,新規買,5,109.349,-,0,0,,0
467722781,2021/08/17 23:27:06,60000553846813,米ドル-円,決済売,5,109.533,-,0,35,14300,14335
467490012,2021/08/16 23:10:42,10000562254751,米ドル-円,新規買,5,109.247,-,0,0,,0
467489801,2021/08/16 23:10:21,60000553742471,米ドル-円,決済買,5,109.260,-,0,-430,15500,15070
466084871,2021/08/05 16:53:35,10000561627731,米ドル-円,新規売,5,109.570,-,0,0,,0
467275377,2021/08/14 4:58:32,60000553650972,米ドル-円,決済買,5,109.558,-,0,-325,27600,27275
466457370,2021/08/09 15:33:45,10000561787378,米ドル-円,新規売,5,110.110,-,0,0,,0
466793434,2021/08/11 15:32:59,60000553430889,米ドル-円,決済売,5,110.742,-,0,1230,2950,4180
461236107,2021/07/07 20:57:16,10000559462647,米ドル-円,新規買,5,110.683,-,0,0,,0
466772010,2021/08/11 11:16:58,60000553420665,米ドル-円,決済売,5,110.627,-,0,1230,1050,2280
461330265,2021/07/08 3:14:30,10000559504324,米ドル-円,新規買,5,110.606,-,0,0,,0
466598750,2021/08/10 11:08:21,60000553342423,米ドル-円,決済売,5,110.317,-,0,455,4900,5355
464581999,2021/07/27 13:17:28,10000560952705,米ドル-円,新規買,5,110.219,-,0,0,,0
466247493,2021/08/06 13:33:41,60000553181544,米ドル-円,決済売,5,109.845,-,0,285,1800,2085
465046963,2021/07/29 15:49:48,10000561162725,米ドル-円,新規買,5,109.809,-,0,0,,0
466247487,2021/08/06 13:33:34,60000553181542,米ドル-円,決済売,5,109.845,-,0,250,8050,8300
465306408,2021/07/30 21:03:09,10000561280719,米ドル-円,新規買,5,109.684,-,0,0,,0
466008325,2021/08/05 4:57:23,60000553073198,米ドル-円,決済売,5,109.454,-,0,30,22350,22380
465716886,2021/08/03 22:35:51,10000561468507,米ドル-円,新規買,5,109.007,-,0,0,,0
