order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
480845584,2021/10/29 22:21:56,60000559856346,米ドル-円,決済売,80,113.915,-,0,0,5600,5600
480845414,2021/10/29 21:52:56,10000568188043,米ドル-円,新規買,80,113.908,-,0,0,,0
480830949,2021/10/29 21:48:49,60000559850223,米ドル-円,決済売,80,113.900,-,0,0,24800,24800
480828576,2021/10/29 21:15:30,10000568180542,米ドル-円,新規買,80,113.869,-,0,0,,0
480827210,2021/10/29 21:12:10,60000559843158,米ドル-円,決済売,80,113.919,-,0,0,0,0
480826670,2021/10/29 21:10:25,10000568179746,米ドル-円,新規買,80,113.919,-,0,0,,0
480824408,2021/10/29 21:09:26,60000559842679,米ドル-円,決済売,80,113.895,-,0,0,17600,17600
480823552,2021/10/29 21:03:14,10000568178230,米ドル-円,新規買,80,113.873,-,0,0,,0
480822502,2021/10/29 20:59:31,60000559840648,米ドル-円,決済売,80,113.876,-,0,0,10400,10400
480820880,2021/10/29 20:52:12,10000568177099,米ドル-円,新規買,80,113.863,-,0,0,,0
480754064,2021/10/29 15:13:17,60000559808507,米ドル-円,決済売,60,113.595,-,0,0,2400,2400
480753862,2021/10/29 15:12:12,10000568146608,米ドル-円,新規買,60,113.591,-,0,0,,0
480744706,2021/10/29 14:09:17,60000559804223,米ドル-円,決済売,80,113.653,-,0,0,51200,51200
480716017,2021/10/29 10:56:03,10000568130434,米ドル-円,新規買,80,113.589,-,0,0,,0
480707343,2021/10/29 10:53:39,60000559790908,米ドル-円,決済売,60,113.579,-,0,0,88200,88200
480703532,2021/10/29 10:08:26,10000568124947,米ドル-円,新規買,60,113.432,-,0,0,,0
480707343,2021/10/29 10:53:39,60000559790907,米ドル-円,決済売,20,113.579,-,0,200,-48600,-48400
480649493,2021/10/29 0:31:05,60000559759862,米ドル-円,決済売,60,113.296,-,0,0,-315600,-315600
480430302,2021/10/28 9:59:24,10000567999499,米ドル-円,新規買,80,113.822,-,0,0,,0
480686254,2021/10/29 9:04:06,60000559777591,米ドル-円,決済買,10,113.656,-,0,-140,-13300,-13440
480662215,2021/10/29 2:07:20,10000568107707,米ドル-円,新規売,10,113.523,-,0,0,,0
480680362,2021/10/29 9:00:46,60000559776750,米ドル-円,決済売,60,113.650,-,0,0,42000,42000
480680265,2021/10/29 8:12:15,10000568114142,米ドル-円,新規買,60,113.580,-,0,0,,0
480661605,2021/10/29 2:02:35,60000559765850,米ドル-円,決済買,10,113.484,-,0,0,-4100,-4100
480661327,2021/10/29 2:00:23,10000568107259,米ドル-円,新規売,10,113.443,-,0,0,,0
480651308,2021/10/29 1:59:42,60000559765572,米ドル-円,決済買,10,113.450,-,0,0,-15000,-15000
480645069,2021/10/29 0:14:06,10000568099843,米ドル-円,新規売,10,113.300,-,0,0,,0
480608285,2021/10/28 23:02:27,60000559744115,米ドル-円,決済買,10,113.399,-,0,0,3000,3000
480607358,2021/10/28 22:46:21,10000568082226,米ドル-円,新規売,10,113.429,-,0,0,,0
480605966,2021/10/28 22:43:28,60000559740151,米ドル-円,決済買,10,113.486,-,0,0,-7600,-7600
480599344,2021/10/28 22:34:33,10000568078972,米ドル-円,新規売,10,113.410,-,0,0,,0
480402944,2021/10/28 4:45:00,60000559651822,米ドル-円,決済売,20,113.786,-,0,0,1400,1400
480272212,2021/10/27 20:04:39,10000567930054,米ドル-円,新規買,20,113.779,-,0,0,,0
480337711,2021/10/27 22:53:07,60000559619644,米ドル-円,決済売,5,113.473,-,0,0,2050,2050
480332265,2021/10/27 22:43:45,10000567959208,米ドル-円,新規買,5,113.432,-,0,0,,0
480326003,2021/10/27 22:36:35,60000559614552,米ドル-円,決済売,5,113.502,-,0,0,-12500,-12500
480276452,2021/10/27 20:21:45,10000567931901,米ドル-円,新規買,5,113.752,-,0,0,,0
480325858,2021/10/27 22:36:24,60000559614350,米ドル-円,決済売,5,113.510,-,0,0,-12050,-12050
