order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
431356902,2021/01/29 23:15:27,60000537151838,米ドル-円,決済買,10,104.690,-,0,0,1000,1000
431335469,2021/01/29 22:36:51,10000546101263,米ドル-円,新規売,10,104.700,-,0,0,,0
431308049,2021/01/29 21:41:48,60000537128643,米ドル-円,決済買,10,104.645,-,0,0,6700,6700
431297823,2021/01/29 21:17:42,10000546084468,米ドル-円,新規売,10,104.712,-,0,0,,0
431282169,2021/01/29 20:37:41,60000537116473,米ドル-円,決済買,10,104.747,-,0,0,2800,2800
431262431,2021/01/29 19:42:22,10000546068687,米ドル-円,新規売,10,104.775,-,0,0,,0
431256327,2021/01/29 19:23:00,60000537103669,米ドル-円,決済買,10,104.798,-,0,0,4400,4400
431251175,2021/01/29 19:09:11,10000546063893,米ドル-円,新規売,10,104.842,-,0,0,,0
431242943,2021/01/29 18:52:02,60000537097610,米ドル-円,決済売,10,104.890,-,0,0,10100,10100
431228422,2021/01/29 18:33:51,10000546053637,米ドル-円,新規買,10,104.789,-,0,0,,0
431158064,2021/01/29 13:00:27,60000537056242,米ドル-円,決済買,10,104.484,-,0,0,1400,1400
431147707,2021/01/29 11:57:19,10000546016067,米ドル-円,新規売,10,104.498,-,0,0,,0
431140944,2021/01/29 11:20:01,60000537049189,米ドル-円,決済買,10,104.454,-,0,0,1300,1300
431138129,2021/01/29 11:04:12,10000546011786,米ドル-円,新規売,10,104.467,-,0,0,,0
431134075,2021/01/29 10:41:21,60000537046137,米ドル-円,決済売,10,104.491,-,0,0,1700,1700
431113992,2021/01/29 9:37:24,10000546000789,米ドル-円,新規買,10,104.474,-,0,0,,0
431104509,2021/01/29 9:03:08,60000537031751,米ドル-円,決済売,10,104.303,-,0,0,3500,3500
431100630,2021/01/29 8:37:32,10000545994443,米ドル-円,新規買,10,104.268,-,0,0,,0
431097374,2021/01/29 8:09:33,60000537029375,米ドル-円,決済買,10,104.247,-,0,-110,5300,5190
431062378,2021/01/29 0:40:53,10000545979210,米ドル-円,新規売,10,104.300,-,0,0,,0
431061339,2021/01/29 0:35:53,60000537010789,米ドル-円,決済買,10,104.315,-,0,0,1500,1500
431033324,2021/01/28 23:31:52,10000545966462,米ドル-円,新規売,10,104.330,-,0,0,,0
431023713,2021/01/28 23:09:38,60000536993267,米ドル-円,決済買,10,104.336,-,0,0,2100,2100
431021099,2021/01/28 23:06:20,10000545961801,米ドル-円,新規売,10,104.357,-,0,0,,0
431020749,2021/01/28 23:05:58,60000536992044,米ドル-円,決済売,1,104.360,-,0,0,-120,-120
431019115,2021/01/28 23:04:36,10000545960999,米ドル-円,新規買,1,104.372,-,0,0,,0
431015615,2021/01/28 23:01:17,60000536989471,米ドル-円,決済買,10,104.320,-,0,0,4400,4400
431005573,2021/01/28 22:49:46,10000545954433,米ドル-円,新規売,10,104.364,-,0,0,,0
431003248,2021/01/28 22:46:22,60000536982088,米ドル-円,決済売,10,104.450,-,0,0,5500,5500
430991481,2021/01/28 22:23:10,10000545947289,米ドル-円,新規買,10,104.395,-,0,0,,0
430963981,2021/01/28 20:47:50,60000536963254,米ドル-円,決済買,10,104.292,-,0,0,2000,2000
430872869,2021/01/28 13:37:46,10000545892081,米ドル-円,新規売,10,104.312,-,0,0,,0
430870313,2021/01/28 13:20:40,60000536920619,米ドル-円,決済売,10,104.328,-,0,0,3200,3200
430823358,2021/01/28 9:19:56,10000545869870,米ドル-円,新規買,10,104.296,-,0,0,,0
430823240,2021/01/28 9:19:40,60000536900050,米ドル-円,決済買,10,104.294,-,0,0,-200,-200
430823168,2021/01/28 9:19:31,10000545869776,米ドル-円,新規売,10,104.292,-,0,0,,0
430822381,2021/01/28 9:17:15,60000536899651,米ドル-円,決済売,10,104.259,-,0,210,10300,10510
430732316,2021/01/27 23:43:20,10000545830065,米ドル-円,新規買,10,104.156,-,0,0,,0
430731508,2021/01/27 23:42:25,60000536857803,米ドル-円,決済売,10,104.134,-,0,0,1600,1600
430730486,2021/01/27 23:41:21,10000545829083,米ドル-円,新規買,10,104.118,-,0,0,,0
430728998,2021/01/27 23:39:27,60000536856323,米ドル-円,決済売,10,104.092,-,0,0,8400,8400
430708019,2021/01/27 22:49:33,10000545818556,米ドル-円,新規買,10,104.008,-,0,0,,0
430706902,2021/01/27 22:47:11,60000536846168,米ドル-円,決済売,10,103.988,-,0,160,9200,9360
430261603,2021/01/25 23:48:38,10000545615283,米ドル-円,新規買,10,103.896,-,0,0,,0
430513896,2021/01/27 0:35:02,60000536758331,米ドル-円,決済買,10,103.608,-,0,0,-1800,-1800
430503585,2021/01/26 23:57:11,10000545725880,米ドル-円,新規売,10,103.590,-,0,0,,0
430513773,2021/01/27 0:34:33,60000536758277,米ドル-円,決済買,10,103.615,-,0,0,-1700,-1700
430503300,2021/01/26 23:56:08,10000545725767,米ドル-円,新規売,10,103.598,-,0,0,,0
430502841,2021/01/26 23:54:50,60000536752994,米ドル-円,決済買,10,103.593,-,0,0,4500,4500
430486343,2021/01/26 23:02:19,10000545717988,米ドル-円,新規売,10,103.638,-,0,0,,0
430502841,2021/01/26 23:54:50,60000536752993,米ドル-円,決済買,10,103.593,-,0,0,5500,5500
430484283,2021/01/26 22:55:54,10000545717065,米ドル-円,新規売,10,103.648,-,0,0,,0
430502841,2021/01/26 23:54:50,60000536752992,米ドル-円,決済買,10,103.593,-,0,0,5600,5600
430484182,2021/01/26 22:55:28,10000545717032,米ドル-円,新規売,10,103.649,-,0,0,,0
430502841,2021/01/26 23:54:50,60000536752991,米ドル-円,決済買,10,103.593,-,0,-240,6500,6260
429925507,2021/01/22 17:10:25,10000545464552,米ドル-円,新規売,10,103.658,-,0,0,,0
430483765,2021/01/26 22:53:53,60000536744296,米ドル-円,決済買,10,103.655,-,0,-120,5100,4980
430147165,2021/01/25 15:08:07,10000545562555,米ドル-円,新規売,10,103.706,-,0,0,,0
430483696,2021/01/26 22:53:36,60000536744260,米ドル-円,決済買,10,103.653,-,0,-240,1300,1060
429925558,2021/01/22 17:10:37,10000545464583,米ドル-円,新規売,10,103.666,-,0,0,,0
430482718,2021/01/26 22:51:24,60000536743904,米ドル-円,決済買,10,103.650,-,0,-120,4900,4780
430141350,2021/01/25 14:31:35,10000545559836,米ドル-円,新規売,10,103.699,-,0,0,,0
430244948,2021/01/25 22:45:40,60000536634075,米ドル-円,決済売,10,103.762,-,0,0,2400,2400
430234150,2021/01/25 22:13:37,10000545602472,米ドル-円,新規買,10,103.738,-,0,0,,0
430199108,2021/01/25 19:38:40,60000536613442,米ドル-円,決済売,10,103.848,-,0,0,3900,3900
430118341,2021/01/25 11:25:36,10000545548925,米ドル-円,新規買,10,103.809,-,0,0,,0
430141854,2021/01/25 14:33:46,60000536586612,米ドル-円,決済買,10,103.702,-,0,0,3000,3000
430132776,2021/01/25 13:16:03,10000545555651,米ドル-円,新規売,10,103.732,-,0,0,,0
430137451,2021/01/25 13:58:00,60000536584432,米ドル-円,決済買,10,103.765,-,0,0,2600,2600
430093699,2021/01/25 8:22:47,10000545537655,米ドル-円,新規売,10,103.791,-,0,0,,0
430069257,2021/01/23 1:50:19,60000536556423,米ドル-円,決済買,10,103.767,-,0,0,9300,9300
430030669,2021/01/22 23:16:41,10000545513159,米ドル-円,新規売,10,103.860,-,0,0,,0
430028398,2021/01/22 23:10:32,60000536535944,米ドル-円,決済売,10,103.882,-,0,0,4200,4200
430024162,2021/01/22 23:01:31,10000545510417,米ドル-円,新規買,10,103.840,-,0,0,,0
430021028,2021/01/22 22:53:29,60000536532516,米ドル-円,決済買,10,103.800,-,0,0,2300,2300
430019228,2021/01/22 22:48:36,10000545508257,米ドル-円,新規売,10,103.823,-,0,0,,0
429851747,2021/01/22 8:32:47,60000536456425,米ドル-円,決済買,10,103.490,-,0,-110,5800,5690
429809434,2021/01/22 0:03:11,10000545412964,米ドル-円,新規売,10,103.548,-,0,0,,0
429851747,2021/01/22 8:32:47,60000536456424,米ドル-円,決済買,10,103.490,-,0,-110,5700,5590
429809009,2021/01/22 0:02:19,10000545412773,米ドル-円,新規売,10,103.547,-,0,0,,0
429851747,2021/01/22 8:32:47,60000536456423,米ドル-円,決済買,10,103.490,-,0,-110,8000,7890
429808496,2021/01/22 0:00:54,10000545412522,米ドル-円,新規売,10,103.570,-,0,0,,0
429791273,2021/01/21 23:16:30,60000536429000,米ドル-円,決済売,10,103.579,-,0,0,14000,14000
429661996,2021/01/21 15:50:37,10000545346167,米ドル-円,新規買,10,103.439,-,0,0,,0
429651356,2021/01/21 14:43:09,60000536363385,米ドル-円,決済買,20,103.392,-,0,-2960,5800,2840
426974533,2021/01/07 18:23:25,10000544138660,米ドル-円,新規売,20,103.421,-,0,0,,0
429595799,2021/01/21 9:35:09,60000536338712,米ドル-円,決済売,10,103.644,-,0,0,7000,7000
429589833,2021/01/21 9:04:58,10000545312267,米ドル-円,新規買,10,103.574,-,0,0,,0
429588797,2021/01/21 8:59:12,60000536335642,米ドル-円,決済買,10,103.559,-,0,-1150,5500,4350
428147436,2021/01/13 16:34:23,10000544666385,米ドル-円,新規売,10,103.614,-,0,0,,0
429568675,2021/01/21 5:01:22,60000536327959,米ドル-円,決済買,10,103.560,-,0,0,26300,26300
429483043,2021/01/20 22:13:50,10000545264367,米ドル-円,新規売,10,103.823,-,0,0,,0
429434581,2021/01/20 18:51:43,60000536264005,米ドル-円,決済売,10,103.813,-,0,0,5100,5100
429377601,2021/01/20 13:41:14,10000545216127,米ドル-円,新規買,10,103.762,-,0,0,,0
429367732,2021/01/20 12:10:43,60000536232584,米ドル-円,決済買,10,103.757,-,0,-110,13200,13090
429278521,2021/01/19 23:17:53,10000545172279,米ドル-円,新規売,10,103.889,-,0,0,,0
429278419,2021/01/19 23:17:32,60000536191699,米ドル-円,決済売,10,103.885,-,0,0,-3900,-3900
429276892,2021/01/19 23:11:48,10000545171505,米ドル-円,新規買,10,103.924,-,0,0,,0
429152472,2021/01/19 13:48:23,60000536132832,米ドル-円,決済買,10,103.992,-,0,0,1900,1900
429140371,2021/01/19 12:46:27,10000545109741,米ドル-円,新規売,10,104.011,-,0,0,,0
429140278,2021/01/19 12:46:02,60000536127301,米ドル-円,決済売,10,104.009,-,0,0,28600,28600
429084282,2021/01/19 10:06:52,10000545084679,米ドル-円,新規買,10,103.723,-,0,0,,0
428270997,2021/01/13 23:14:13,60000535729616,米ドル-円,決済買,10,103.881,-,0,0,3700,3700
428232091,2021/01/13 21:29:27,10000544705363,米ドル-円,新規売,10,103.918,-,0,0,,0
428084727,2021/01/13 9:55:31,60000535646031,米ドル-円,決済買,10,103.659,-,0,0,11100,11100
428070060,2021/01/13 8:43:49,10000544631490,米ドル-円,新規売,10,103.770,-,0,0,,0
428069809,2021/01/13 8:41:50,60000535639651,米ドル-円,決済買,15,103.778,-,0,-330,49800,49470
427601420,2021/01/11 15:33:15,10000544419339,米ドル-円,新規売,15,104.110,-,0,0,,0
426856995,2021/01/07 9:19:07,60000535075736,米ドル-円,決済買,20,102.972,-,0,0,11200,11200
426848769,2021/01/07 8:39:12,10000544080919,米ドル-円,新規売,20,103.028,-,0,0,,0
426808632,2021/01/07 1:43:16,60000535050871,米ドル-円,決済買,20,103.309,-,0,0,12400,12400
426801130,2021/01/07 1:09:44,10000544061403,米ドル-円,新規売,20,103.371,-,0,0,,0
426788228,2021/01/07 0:38:43,60000535040503,米ドル-円,決済売,10,103.297,-,0,70,42300,42370
426347557,2021/01/05 19:46:24,10000543853458,米ドル-円,新規買,10,102.874,-,0,0,,0
426265190,2021/01/05 14:16:16,60000534798285,米ドル-円,決済買,20,102.980,-,0,-240,24800,24560
426173653,2021/01/05 1:36:50,10000543773671,米ドル-円,新規売,20,103.104,-,0,0,,0
426166151,2021/01/05 1:01:00,60000534753722,米ドル-円,決済買,10,103.122,-,0,0,1700,1700
