order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
437150185,2021/02/27 0:50:36,60000539840181,米ドル-円,決済売,10,106.611,-,0,0,2100,2100
437147256,2021/02/27 0:46:35,10000548700712,米ドル-円,新規買,10,106.590,-,0,0,,0
437148762,2021/02/27 0:48:52,60000539839493,米ドル-円,決済売,10,106.597,-,0,0,1800,1800
437146971,2021/02/27 0:46:12,10000548700564,米ドル-円,新規買,10,106.579,-,0,0,,0
437138912,2021/02/27 0:34:03,60000539834202,米ドル-円,決済売,10,106.527,-,0,0,2900,2900
437136064,2021/02/27 0:29:00,10000548695359,米ドル-円,新規買,10,106.498,-,0,0,,0
437138780,2021/02/27 0:33:47,60000539834123,米ドル-円,決済売,10,106.518,-,0,0,1000,1000
437137984,2021/02/27 0:32:12,10000548696355,米ドル-円,新規買,10,106.508,-,0,0,,0
437137159,2021/02/27 0:31:05,60000539833343,米ドル-円,決済売,10,106.523,-,0,0,1600,1600
437136378,2021/02/27 0:29:36,10000548695494,米ドル-円,新規買,10,106.507,-,0,0,,0
437122430,2021/02/27 0:07:04,60000539826218,米ドル-円,決済売,5,106.437,-,0,0,1100,1100
437111202,2021/02/26 23:48:40,10000548684007,米ドル-円,新規買,5,106.415,-,0,0,,0
437122150,2021/02/27 0:06:38,60000539826077,米ドル-円,決済売,10,106.443,-,0,0,2100,2100
437110651,2021/02/26 23:47:48,10000548683765,米ドル-円,新規買,10,106.422,-,0,0,,0
437117162,2021/02/26 23:58:44,60000539823644,米ドル-円,決済売,5,106.436,-,0,0,350,350
437112721,2021/02/26 23:51:31,10000548684643,米ドル-円,新規買,5,106.429,-,0,0,,0
437114444,2021/02/26 23:54:28,60000539822259,米ドル-円,決済買,5,106.420,-,0,0,-1800,-1800
437099394,2021/02/26 23:27:24,10000548678832,米ドル-円,新規売,5,106.384,-,0,0,,0
437094589,2021/02/26 23:17:54,60000539812891,米ドル-円,決済売,5,106.371,-,0,0,1450,1450
437090183,2021/02/26 23:10:50,10000548674996,米ドル-円,新規買,5,106.342,-,0,0,,0
437094345,2021/02/26 23:17:24,60000539812829,米ドル-円,決済売,10,106.379,-,0,0,2500,2500
437088774,2021/02/26 23:08:57,10000548674321,米ドル-円,新規買,10,106.354,-,0,0,,0
437094063,2021/02/26 23:17:01,60000539812716,米ドル-円,決済売,10,106.374,-,0,0,800,800
437093143,2021/02/26 23:15:37,10000548676238,米ドル-円,新規買,10,106.366,-,0,0,,0
437074779,2021/02/26 22:48:35,60000539803143,米ドル-円,決済買,5,106.273,-,0,0,2100,2100
437059683,2021/02/26 22:19:26,10000548661558,米ドル-円,新規売,5,106.315,-,0,0,,0
437074713,2021/02/26 22:48:26,60000539803114,米ドル-円,決済買,5,106.280,-,0,0,-950,-950
437027968,2021/02/26 21:19:02,10000548647815,米ドル-円,新規売,5,106.261,-,0,0,,0
437052979,2021/02/26 22:07:55,60000539793506,米ドル-円,決済買,5,106.307,-,0,0,4500,4500
437007127,2021/02/26 20:44:43,10000548638522,米ドル-円,新規売,5,106.397,-,0,0,,0
437052759,2021/02/26 22:07:39,60000539793377,米ドル-円,決済買,5,106.299,-,0,0,2050,2050
437015445,2021/02/26 20:57:27,10000548642290,米ドル-円,新規売,5,106.340,-,0,0,,0
437006339,2021/02/26 20:43:09,60000539773018,米ドル-円,決済売,5,106.419,-,0,0,12100,12100
436865557,2021/02/26 15:23:55,10000548574475,米ドル-円,新規買,5,106.177,-,0,0,,0
436960503,2021/02/26 19:24:05,60000539753277,米ドル-円,決済売,10,106.381,-,0,0,6700,6700
436746669,2021/02/26 9:22:22,10000548520935,米ドル-円,新規買,10,106.314,-,0,0,,0
436958991,2021/02/26 19:20:47,60000539752579,米ドル-円,決済売,10,106.425,-,0,0,7100,7100
436743577,2021/02/26 9:17:22,10000548519303,米ドル-円,新規買,10,106.354,-,0,0,,0
436864834,2021/02/26 15:20:04,60000539707975,米ドル-円,決済売,5,106.186,-,0,0,12700,12700
436804539,2021/02/26 11:52:40,10000548547629,米ドル-円,新規買,5,105.932,-,0,0,,0
436864816,2021/02/26 15:19:59,60000539707967,米ドル-円,決済売,5,106.183,-,0,0,-3000,-3000
