注文番号,約定日,建玉番号,通貨ペア,取引,数量,決済価格(建単価),換算レート,手数料,実現スワップ,実現損益,合計損益
425531909,2020/12/30 20:40:25,60000534455391,米ドル-円,決済買,10,103.148,-,0,-1830,16500,14670
423583082,2020/12/18 15:42:56,10000542606641,米ドル-円,新規売,10,103.313,-,0,0,,0
423971700,2020/12/21 19:19:19,60000533727320,米ドル-円,決済売,10,103.779,-,0,150,26700,26850
423232050,2020/12/17 9:17:27,10000542444052,米ドル-円,新規買,10,103.512,-,0,0,,0
423413656,2020/12/17 22:26:38,60000533463143,米ドル-円,決済買,10,103.115,-,0,0,-5900,-5900
423408920,2020/12/17 22:15:11,10000542529929,米ドル-円,新規売,10,103.056,-,0,0,,0
423304461,2020/12/17 16:20:03,60000533414627,米ドル-円,決済買,10,103.181,-,0,-4550,2700,-1850
415586282,2020/11/06 20:16:28,10000539018470,米ドル-円,新規売,10,103.208,-,0,0,,0
423304276,2020/12/17 16:19:33,60000533414550,米ドル-円,決済買,10,103.188,-,0,-4550,3300,-1250
415582288,2020/11/06 20:03:49,10000539016813,米ドル-円,新規売,10,103.221,-,0,0,,0
423302765,2020/12/17 16:15:22,60000533413897,米ドル-円,決済買,10,103.158,-,0,-4550,6300,1750
415583399,2020/11/06 20:07:04,10000539017265,米ドル-円,新規売,10,103.221,-,0,0,,0
423231487,2020/12/17 9:14:46,60000533381937,米ドル-円,決済売,10,103.530,-,0,0,7300,7300
423222611,2020/12/17 8:03:23,10000542439796,米ドル-円,新規買,10,103.457,-,0,0,,0
423219660,2020/12/17 7:38:18,60000533377932,米ドル-円,決済売,10,103.426,-,0,210,7500,7710
423117035,2020/12/16 21:49:17,10000542394578,米ドル-円,新規買,10,103.351,-,0,0,,0
423111461,2020/12/16 21:31:15,60000533323607,米ドル-円,決済売,10,103.384,-,0,0,2500,2500
423102390,2020/12/16 21:04:10,10000542387840,米ドル-円,新規買,10,103.359,-,0,0,,0
422972776,2020/12/16 11:02:42,60000533262251,米ドル-円,決済売,10,103.609,-,0,0,-7300,-7300
422961791,2020/12/16 9:40:45,10000542318890,米ドル-円,新規買,10,103.682,-,0,0,,0
422949327,2020/12/16 8:22:22,60000533252870,米ドル-円,決済買,10,103.643,-,0,-230,400,170
422575216,2020/12/14 21:49:10,10000542143114,米ドル-円,新規売,10,103.647,-,0,0,,0
422723667,2020/12/15 11:01:33,60000533150844,米ドル-円,決済売,10,104.075,-,0,140,2000,2140
422160981,2020/12/11 12:55:54,10000541952826,米ドル-円,新規買,10,104.055,-,0,0,,0
422143714,2020/12/11 11:08:47,60000532881344,米ドル-円,決済買,10,103.994,-,0,-440,11900,11460
421590952,2020/12/09 9:45:51,10000541695034,米ドル-円,新規売,10,104.113,-,0,0,,0
421564787,2020/12/09 1:50:48,60000532614063,米ドル-円,決済買,10,104.131,-,0,0,4400,4400
421554006,2020/12/09 0:50:00,10000541680292,米ドル-円,新規売,10,104.175,-,0,0,,0
421490548,2020/12/08 22:12:34,60000532578719,米ドル-円,決済売,10,104.132,-,0,0,13800,13800
